id,name,source_level,platform_type,url,status,http_status,final_url,issue_type,severity,issue_summary
41,江西省公共资源交易平台,地方省市,公共资源交易,http://www.jxsggzy.cn/web,validated_failed,404,http://www.jxsggzy.cn/web,http_not_found,high,404 页面不存在
142,鞍钢矿业招标投标平台,行业垂直,企业招投标平台,http://www.anmining.com/Tcrazy/Business.aspx,validated_failed,404,http://www.anmining.com/Tcrazy/Business.aspx,http_not_found,high,404 页面不存在
200,筑龙电子招标投标平台,第三方综合,聚合平台,http://www.jiaoyi365.com/zbcg,validated_failed,404,https://www.jiaoyi365.com/zbcg,http_not_found,high,404 页面不存在
229,中国（矿用）工业品电子招投标交易平台,第三方综合,聚合平台,http://zb365.com.cn,validated_failed,404,http://zb365.com.cn,http_not_found,high,404 页面不存在
271,楚天云采交易平台,第三方综合,聚合平台,http://www.hbebidding.com.cn/,validated_failed,404,http://www.hbebidding.com.cn/,http_not_found,high,404 页面不存在
14,内蒙古自治区政府采购网,地方省市,政府采购,http://www.ccgp-neimenggu.gov.cn,validated_failed,410,http://www.ccgp-neimenggu.gov.cn,http_not_found,high,410 页面不存在
2,中国招标投标公共服务平台,国家级,官方核心,https://www.cebpubservice.com,validated_failed,502,https://www.cebpubservice.com,http_server_error,high,502 服务端错误
216,推绿网,第三方综合,聚合平台,http://www.twigreen.com/,validated_failed,520,https://www.twigreen.com/,http_server_error,high,520 服务端错误
19,全国公共资源交易平台（四川省）,地方省市,公共资源交易,http://www.scggzy.gov.cn,validated_failed,,http://www.scggzy.gov.cn,network_error,high,socket hang up
20,四川政府采购,地方省市,政府采购,http://www.ccgp-sichuan.gov.cn,validated_failed,,http://www.ccgp-sichuan.gov.cn,network_error,high,socket hang up
31,广东省公共资源交易平台,地方省市,公共资源交易,http://bs.gdggzy.org.cn/osh-web,validated_failed,,http://bs.gdggzy.org.cn/osh-web,network_error,high,socket hang up
35,广西壮族自治区公共资源交易中心,地方省市,公共资源交易,http://ggzyjy.gxzf.gov.cn,validated_failed,,http://ggzyjy.gxzf.gov.cn,network_error,high,socket hang up
59,西藏自治区公共资源交易信息网,地方省市,公共资源交易,http://xzggzy.gov.cn:9090,validated_failed,,http://xzggzy.gov.cn:9090,network_error,high,socket hang up
132,中国电子进出口有限公司招标采购网,行业垂直,企业招投标平台,http://bidding.ceiec.com.cn/,validated_failed,,http://bidding.ceiec.com.cn/,network_error,high,socket hang up
136,中国华能集团公司电子招投标系统,行业垂直,企业招投标平台,http://www.chnzb.cn/hnzb/,validated_failed,,http://www.chnzb.cn/hnzb/,network_error,high,socket hang up
137,中国石化电子招标投标交易平台物资装备交易平台,行业垂直,企业招投标平台,http://bidding.sinopec.com,validated_failed,,http://bidding.sinopec.com,network_error,high,socket hang up
138,冀中能源集团招标投标电子交易平台,行业垂直,企业招投标平台,http://jzny.e-bidding.org/,validated_failed,,http://jzny.e-bidding.org/,network_error,high,socket hang up
140,晋能控股招标采购平台,行业垂直,企业招投标平台,http://dzzb.dtcoalmine.com,validated_failed,,http://dzzb.dtcoalmine.com,network_error,high,socket hang up
141,能建电子招投标交易平台,行业垂直,企业招投标平台,http://jc.imeec.cn/,validated_failed,,http://jc.imeec.cn/,network_error,high,socket hang up
143,中国一汽电子招标采购交易平台,行业垂直,企业招投标平台,http://ept.fawiec.com,validated_failed,,http://ept.fawiec.com,network_error,high,socket hang up
145,中国通信服务湖南招投标服务平台,行业垂直,企业招投标平台,http://xtfzb.net/,validated_failed,,http://xtfzb.net/,network_error,high,socket hang up
152,中国联通电子招标投标交易平台,行业垂直,企业招投标平台,http://111.198.162.67/zglt/index,validated_failed,,http://111.198.162.67/zglt/index,network_error,high,socket hang up
154,浙能集团电子招投标交易平台,行业垂直,企业招投标平台,http://60.191.4.146:18600/,validated_failed,,http://60.191.4.146:18600/,network_error,high,socket hang up
170,CEC 电子采购平台,行业垂直,企业采购平台,http://www.cec-ec.com.cn,validated_failed,,http://www.cec-ec.com.cn,network_error,high,socket hang up
175,东方电气集中采购管理平台,行业垂直,企业采购平台,https://nsrm.dongfang.com/,validated_failed,,https://nsrm.dongfang.com/,network_error,high,Parse Error: Invalid header token
186,中国长江三峡集团公司电子采购平台,行业垂直,企业采购平台,http://epp.ctg.com.cn/,validated_failed,,http://epp.ctg.com.cn/,network_error,high,socket hang up
188,中电采购平台,行业垂直,企业采购平台,http://bid.ceiec.com.cn,validated_failed,,http://bid.ceiec.com.cn,network_error,high,socket hang up
191,国家开发投资公司（集团）电子采购平台,行业垂直,企业采购平台,http://eps.sdic.com.cn/,validated_failed,,http://eps.sdic.com.cn/,network_error,high,socket hang up
193,内蒙古能建电子商务平台,行业垂直,企业采购平台,http://et.imeec.cn/cms/index.htm,validated_failed,,http://et.imeec.cn/cms/index.htm,network_error,high,socket hang up
195,南航采购平台CPP,行业垂直,企业采购平台,http://cpp.csair.com,validated_failed,,http://cpp.csair.com,network_error,high,socket hang up
203,龙源工程采购交易平台,第三方综合,聚合平台,http://lygccgpt.gdlygc.cn,validated_failed,,http://lygccgpt.gdlygc.cn,network_error,high,socket hang up
204,首开股份工程电子招标采购交易平台,第三方综合,聚合平台,http://ebidding.shoukaigufen.com.cn/,validated_failed,,http://ebidding.shoukaigufen.com.cn/,network_error,high,socket hang up
205,金润招投标交易平台,第三方综合,聚合平台,http://www.jrztbpt.com,validated_failed,,http://www.jrztbpt.com,network_error,high,socket hang up
220,圣诺联合电子招投标平台,第三方综合,聚合平台,http://www.okzhaobiao.com/,validated_failed,,http://www.okzhaobiao.com/,network_error,high,socket hang up
