dry_run_order,source_row_no,dry_run_decision,name,alias_name,url,normalized_url,source_level,province,city,track,platform_type,is_official,enabled,validation_status,import_confidence,confidence_flags,same_province_track_count,same_province_track_names,exact_name_match_count,exact_name_match_id,exact_name_match_name,exact_name_match_url,notes,manual_check_reason
1,6,create_candidate,中共中央直属机关采购中心,,http://www.zzcg.gov.cn/,http://www.zzcg.gov.cn/,国家级,全国,,政府采购,政府采购,1,1,never_validated,high,name_contains_center,2,中国政府采购网 | https://www.ccgp.gov.cn || 中央政府采购网 | https://www.zycg.gov.cn,0,,,,来源: 招标网站.xml；栏目: 央采军队采购平台；轨道: 政府采购；现有同省同轨记录: 中国政府采购网、中央政府采购网,
2,7,create_candidate,中国海关政府采购网,,http://hgcg.customs.gov.cn/,http://hgcg.customs.gov.cn/,国家级,全国,,政府采购,政府采购,1,1,never_validated,high,,2,中国政府采购网 | https://www.ccgp.gov.cn || 中央政府采购网 | https://www.zycg.gov.cn,0,,,,来源: 招标网站.xml；栏目: 央采军队采购平台；轨道: 政府采购；现有同省同轨记录: 中国政府采购网、中央政府采购网,
3,8,create_candidate,中国人民银行集中采购中心,,https://jzcg.pbc.gov.cn/,https://jzcg.pbc.gov.cn/,国家级,全国,,政府采购,政府采购,1,1,never_validated,high,name_contains_center,2,中国政府采购网 | https://www.ccgp.gov.cn || 中央政府采购网 | https://www.zycg.gov.cn,0,,,,来源: 招标网站.xml；栏目: 央采军队采购平台；轨道: 政府采购；现有同省同轨记录: 中国政府采购网、中央政府采购网,
4,9,create_candidate,全国人大机关采购中心,,https://ww.ccgp.gov.cn/qgrd/,https://ww.ccgp.gov.cn/qgrd/,国家级,全国,,政府采购,政府采购,1,1,never_validated,high,name_contains_center,2,中国政府采购网 | https://www.ccgp.gov.cn || 中央政府采购网 | https://www.zycg.gov.cn,0,,,,来源: 招标网站.xml；栏目: 央采军队采购平台；轨道: 政府采购；现有同省同轨记录: 中国政府采购网、中央政府采购网,
5,10,create_candidate,税务采购网,,https://swcg.chinatax.gov.cn/,https://swcg.chinatax.gov.cn/,国家级,全国,,政府采购,政府采购,1,1,never_validated,high,,2,中国政府采购网 | https://www.ccgp.gov.cn || 中央政府采购网 | https://www.zycg.gov.cn,0,,,,来源: 招标网站.xml；栏目: 央采军队采购平台；轨道: 政府采购；现有同省同轨记录: 中国政府采购网、中央政府采购网,
6,11,same_name_review,军队采购网,,https://www.plap.mil.cn/,https://www.plap.mil.cn/,国家级,全国,,军采,军采,1,1,never_validated,high,,1,军队采购网 | https://www.plap.cn,1,6,军队采购网,https://www.plap.cn,来源: 招标网站.xml；栏目: 央采军队采购平台；轨道: 军采；现有同省同轨记录: 军队采购网,现有库已存在同名记录，需先判断是 URL 更新还是并行新源
7,12,create_candidate,军网自采平台,,https://zc.plap.mil.cn/,https://zc.plap.mil.cn/,国家级,全国,,军采,军采,1,1,never_validated,medium,platform_type_pending / self_procurement_entry,1,军队采购网 | https://www.plap.cn,0,,,,来源: 招标网站.xml；栏目: 央采军队采购平台；轨道: 军采；现有同省同轨记录: 军队采购网,platform_type_pending / self_procurement_entry
8,23,create_candidate,天津市政府采购中心,,http://tjgpc.zwfwb.tj.gov.cn/,http://tjgpc.zwfwb.tj.gov.cn/,地方省市,天津,,政府采购,政府采购,1,1,never_validated,high,name_contains_center,1,天津市政府采购网 | http://www.ccgp-tianjin.gov.cn,0,,,,来源: 招标网站.xml；栏目: 省市自治区政采、公共资源平台；轨道: 政府采购；现有同省同轨记录: 天津市政府采购网,
9,25,same_name_review,河北省公共资源交易服务平台,,http://ggzy.hebei.gov.cn/hbggfwpt/,http://ggzy.hebei.gov.cn/hbggfwpt/,地方省市,河北,,公共资源交易,公共资源交易,1,1,never_validated,high,,1,河北省公共资源交易服务平台 | https://szj.hebei.gov.cn/hbggfwpt,1,44,河北省公共资源交易服务平台,https://szj.hebei.gov.cn/hbggfwpt,来源: 招标网站.xml；栏目: 省市自治区政采、公共资源平台；轨道: 公共资源交易；现有同省同轨记录: 河北省公共资源交易服务平台,现有库已存在同名记录，需先判断是 URL 更新还是并行新源
10,28,create_candidate,山西公共资源交易平台,,https://prec.sxzwfw.gov.cn/,https://prec.sxzwfw.gov.cn/,地方省市,山西,,公共资源交易,公共资源交易,1,1,never_validated,high,,1,山西省招标投标公共服务平台 | http://www.sxbid.com.cn,0,,,,来源: 招标网站.xml；栏目: 省市自治区政采、公共资源平台；轨道: 公共资源交易；现有同省同轨记录: 山西省招标投标公共服务平台,
