"功能需求
至少要细化到二级模块才可以进行评估",,,,"人员角色
根据模块实际需要添加或修改角色，项目经理每个细分模块至少分配1人天，交付能力系数为现有团队角色的能力评估，如评估时还没有现有人员作为参考，最小为1.5。",,,,,,,,,,,"调整因子
只细化到二级模块的情况下，范围因子最小1.5",,,"平均单价
（万元）","费用预估
（万元）","备注
（写异常因素及未考虑到的风险点）"
一级模块,二级模块,三级模块,功能说明,项目经理,技术经理,UI,DBA,产品经理,后端,前端,测试,实施,交付系数,"工时
（人/天）",评估因子,范围变更因子,专业技术因子,,,
系统对接（必须）,能源数据采集,电表数据采集系统,实时获取电表计量数据,1.5,2,0,0.5,1,3,1,1.5,0,1,10.5,1.39,1,1.3,0.16,3.03576,
,能源数据采集,用水采集装置,实时获取用水数据,1.2,1.8,0,0.4,1,2.5,0,1.2,0,1,8.1,1.39,1,1.3,0.16,2.341872,
,能源数据采集,用气采集装置,实时获取用气数据,1.2,1.8,0,0.4,1,2.5,0,1.2,0,1,8.1,1.39,1,1.3,0.16,2.341872,
,能源数据采集,用油数据填报系统,手动填报界面,0.8,1,0,0.2,0.8,1.5,0,0.8,0,1,5.1,1.39,1,1.3,0.16,1.474512,
,园区基础信息,园区基础信息管理系统,查询并管理园区基础信息,1,1.2,0,0.4,1,1.8,0,1,0,1,6.4,1.39,1,1.3,0.16,1.850368,
,园区基础信息,发电监控系统,实时获取并处理发电数据,1.2,1.8,0,0.5,1.2,2.8,0,1.2,0,1,8.7,1.39,1,1.3,0.16,2.515344,
系统对接（可选）,外部数据源,国际合规数据库,CBAM等规则数据,1.5,2.5,0,0.8,1.5,3.5,0,1.5,1,1,12.3,1.39,0,1,0.16,0,
,外部数据源,碳市场行情数据系统,碳开盘价、最高价、最低价、成交均价,1,1.2,0,0.3,1,1.8,0,1,0.5,1,6.8,1.39,0,1,0.16,0,
,外部数据源,国家政策数据库,影响碳排放的政策数据,0.8,1,0,0.2,0.8,1.5,0,0.8,0.4,1,5.5,1.39,0,1,0.16,0,
,内部管理,部门信息管理系统,按部门进行碳排放分析,0.6,0.8,0,0.2,0.6,1.2,0,0.6,0.3,1,4.3,1.39,0,1,0.16,0,
,内部管理,工业增加值数据系统,评估碳排放与经济效益关系,0.8,1,0,0.3,0.8,1.5,0,0.8,0.4,1,5.6,1.39,0,1,0.16,0,
,内部管理,历史能耗数据库,基于历史数据进行预测分析,0.8,1,0,0.3,0.8,1.5,0,0.8,0.4,1,5.6,1.39,0,1,0.16,0,
系统集成,用户组织机构集成,组织机构,,2,0.3,0,1.5,1,0.6,1.5,1,0,1,7.9,1.39,1,1,0.16,1.75696,
,,用户角色权限,,1.8,0.2,0,1.2,1,0.4,1.2,0.8,0,1,6.6,1.39,1,1,0.16,1.46784,
,,单点登陆,,1.5,0.2,0,1,1,0.3,1,0.6,0,1,5.6,1.39,1,1,0.16,1.24544,
,数据集成,基础数据标准对齐,,1.2,0.1,0,0.8,1,0.2,0.8,0.4,0,1,4.5,1.39,1,1,0.16,1.0008,
,,审批流程引擎集成,,1.5,0.2,0,1,1,0.3,1,0.6,0,1,5.6,1.39,1,1,0.16,1.24544,
,,系统日志统一收集,,0.8,0.1,0,0.6,1,0.2,0.6,0.3,0,1,3.6,1.39,1,1,0.16,0.80064,
,系统交互集成,界面集成,,1,1.5,2,0.8,1,2,0.8,0.4,0,1,9.5,1.39,1,1,0.16,2.1128,
,,技术框架集成,,1.5,0.2,0,1,1,0.3,1,0.6,0,1,5.6,1.39,1,1,0.16,1.24544,
,,消息通知机制集成,,1,0.2,0,0.8,1,0.3,0.8,0.4,0,1,4.5,1.39,1,1,0.16,1.0008,
,,性能监控指标对接,,1,0.2,0,0.8,1,0.3,0.8,0.4,0,1,4.5,1.39,1,1,0.16,1.0008,
合计,,,,25.7,,,14,21.5,30,10.5,17.9,,,,,,,,26.44 ,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
